Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
131,Bangkok Dangerous,-,-,-,"$15,298,133","2,654","$15,298,133",Sep 5,Lionsgate,false
132,Milk,-,-,-,"$14,594,325",882,"$31,841,299",Nov 26,Focus Features,false
133,Sea Monsters: A Prehistoric Adventure,-,-,-,"$14,470,286",252,"$23,746,066",Oct 5,National Geographic Entertainment,false
134,Disaster Movie,-,-,-,"$14,190,901","2,642","$14,190,901",Aug 29,Lionsgate,false
135,The Duchess,-,-,-,"$13,848,978","1,207","$13,848,978",Sep 19,Paramount Vantage,false
136,Aliens vs. Predator: Requiem,-,-,-,"$13,590,647","2,617","$41,797,066",Dec 25,Twentieth Century Fox,false
137,The Haunting of Molly Hartley,-,-,-,"$13,482,372","2,652","$13,559,812",Oct 31,Freestyle Releasing,false
138,Ghost Town,-,-,-,"$13,367,624","1,512","$13,367,624",Sep 19,DreamWorks,false
139,The Spirit,-,-,-,"$13,067,406","2,509","$19,806,188",Dec 25,Lionsgate,false
140,Religulous,-,-,-,"$13,011,160",568,"$13,011,160",Oct 1,Lionsgate,false
141,The Pirates Who Don't Do Anything: A VeggieTales Movie,-,-,-,"$12,981,269","1,340","$12,981,269",Jan 11,Universal Pictures,false
142,Under the Same Moon,-,-,-,"$12,590,147",454,"$12,590,147",Mar 19,The Weinstein Company,false
143,Fly Me to the Moon 3D,-,-,-,"$12,518,732",713,"$13,816,982",Aug 15,Summit Entertainment,false
144,Miss Pettigrew Lives for a Day,-,-,-,"$12,313,694",539,"$12,313,694",Mar 7,Focus Features,false
145,Soul Men,-,-,-,"$12,017,328","2,048","$12,082,391",Nov 7,-,false
146,Doubt,-,-,-,"$11,810,755","1,287","$33,446,470",Dec 12,Miramax,false
147,Meet Dave,-,-,-,"$11,803,254","3,011","$11,803,254",Jul 11,Twentieth Century Fox,false
148,The Longshots,-,-,-,"$11,537,046","2,089","$11,537,046",Aug 22,-,false
149,Be Kind Rewind,-,-,-,"$11,184,916",810,"$11,175,164",Feb 22,New Line Cinema,false
150,Doomsday,-,-,-,"$11,008,770","1,938","$11,008,770",Mar 14,Rogue Pictures,false
151,Stop-Loss,-,-,-,"$10,915,744","1,305","$10,915,744",Mar 28,Paramount Pictures,false
152,The Golden Compass,-,-,-,"$10,244,179","3,528","$70,107,728",Dec 7,New Line Cinema,false
153,Rachel Getting Married,-,-,-,"$10,104,295",391,"$12,796,841",Oct 3,Sony Pictures Classics,false
154,Penelope,-,-,-,"$10,011,996","1,207","$10,011,996",Feb 29,Summit Entertainment,false
155,The Kite Runner,-,-,-,"$9,950,597",715,"$15,800,078",Dec 14,Paramount Vantage,false
156,Michael Clayton,-,-,-,"$9,885,291","2,585","$49,033,882",Oct 5,Warner Bros.,false
157,The Express,-,-,-,"$9,793,406","2,810","$9,793,406",Oct 10,Universal Pictures,false
158,U2 3D,-,-,-,"$9,642,269",686,"$10,363,341",Jan 23,National Geographic Entertainment,false
159,Smart People,-,-,-,"$9,511,289","1,119","$9,511,289",Apr 11,Miramax,false
160,The Visitor,-,-,-,"$9,427,089",270,"$9,427,089",Apr 11,Overture Films,false
161,The Boy in the Striped Pajamas,-,-,-,"$8,721,222",679,"$9,046,156",Nov 7,Miramax,false
162,Sex Drive,-,-,-,"$8,402,485","2,421","$8,402,485",Oct 17,Summit Entertainment,false
163,Punisher: War Zone,-,-,-,"$8,050,977","2,508","$8,050,977",Dec 5,Lionsgate,false
164,Miracle at St. Anna,-,-,-,"$7,919,117","1,185","$7,919,117",Sep 26,Walt Disney Studios Motion Pictures,false
165,City of Ember,-,-,-,"$7,849,215","2,023","$7,873,007",Oct 10,Twentieth Century Fox,false
166,Cadillac Records,-,-,-,"$7,844,196",701,"$8,195,551",Dec 5,Sony Pictures Entertainment (SPE),false
167,In Bruges,-,-,-,"$7,800,824",232,"$7,800,824",Feb 8,Focus Features,false
168,Expelled: No Intelligence Allowed,-,-,-,"$7,644,696","1,052","$7,720,487",Apr 18,Rocky Mountain Pictures,false
169,Over Her Dead Body,-,-,-,"$7,564,149","1,977","$7,563,670",Feb 1,New Line Cinema,false
170,Nothing Like the Holidays,-,-,-,"$7,163,279","1,671","$7,503,736",Dec 12,Overture Films,false
171,How She Move,-,-,-,"$7,070,641","1,531","$7,070,641",Jan 25,Paramount Vantage,false
172,An American Carol,-,-,-,"$7,013,191","1,639","$7,013,191",Oct 3,Vivendi Entertainment,false
173,The Orphanage,-,-,-,"$6,897,589",707,"$7,161,284",Dec 28,Picturehouse,false
174,Strange Wilderness,-,-,-,"$6,575,282","1,211","$6,575,282",Feb 1,Paramount Classics,false
175,Brideshead Revisited,-,-,-,"$6,432,256",501,"$6,432,256",Jul 25,Miramax,false
176,The Rocker,-,-,-,"$6,409,528","2,784","$6,409,528",Aug 20,Twentieth Century Fox,false
177,Tell No One,-,-,-,"$6,143,704",112,"$6,177,192",Jul 2,Music Box Films,false
178,Run Fatboy Run,-,-,-,"$6,003,262","1,133","$6,003,262",Mar 28,Picturehouse,false
179,Gran Torino,-,-,-,"$5,881,093","3,045","$148,095,302",Dec 12,Warner Bros.,false
180,Mongol: The Rise of Genghis Khan,-,-,-,"$5,705,761",253,"$5,705,761",Jun 6,Picturehouse,false
181,RocknRolla,-,-,-,"$5,700,626",826,"$5,700,626",Oct 8,Warner Bros.,false
182,Shine a Light,-,-,-,"$5,505,267",277,"$5,505,267",Apr 4,Paramount Vantage,false
183,The Counterfeiters,-,-,-,"$5,488,570",170,"$5,488,570",Feb 22,Sony Pictures Classics,false
184,Walk Hard: The Dewey Cox Story,-,-,-,"$5,242,050","2,650","$18,317,151",Dec 21,Sony Pictures Entertainment (SPE),false
185,Dolphins and Whales 3D: Tribes of the Ocean,-,-,-,"$5,215,033",42,"$7,714,996",Feb 15,3D Entertainment,false
186,The Diving Bell and the Butterfly,-,-,-,"$5,101,666",213,"$6,003,227",Nov 30,Miramax,false
187,Hamlet 2,-,-,-,"$4,886,216","1,597","$4,886,216",Aug 22,Focus Features,false
188,Magnificent Desolation: Walking on the Moon 3D,-,-,-,"$4,875,063",82,"$34,137,524",Sep 23,IMAX,false
189,The Savages,-,-,-,"$4,808,372",201,"$6,623,082",Nov 28,Fox Searchlight Pictures,false
190,In the Name of the King: A Dungeon Siege Tale,-,-,-,"$4,774,473","1,632","$4,775,656",Jan 11,Freestyle Releasing,false
191,College,-,-,-,"$4,694,636","2,124","$4,694,636",Aug 29,Metro-Goldwyn-Mayer (MGM),false
192,Deception,-,-,-,"$4,598,506","2,001","$4,598,506",Apr 25,Twentieth Century Fox,false
193,Flash of Genius,-,-,-,"$4,442,377","1,098","$4,442,377",Oct 3,Universal Pictures,false
194,Space Station 3D,-,-,-,"$4,397,599",64,"$93,383,953",Apr 19,IMAX,false
195,Frost/Nixon,-,-,-,"$4,369,220","1,105","$18,622,031",Dec 5,Universal Pictures,false
196,Persepolis,-,-,-,"$4,310,455",536,"$4,445,756",Dec 25,Sony Pictures Classics,false
197,Witless Protection,-,-,-,"$4,161,625","1,354","$4,161,625",Feb 22,Lionsgate,false
198,Bottle Shock,-,-,-,"$4,078,607",401,"$4,078,607",Aug 6,Freestyle Releasing,false
199,Young@Heart,-,-,-,"$3,992,189",212,"$3,992,189",Apr 9,Fox Searchlight Pictures,false
200,Charlie Bartlett,-,-,-,"$3,951,699","1,122","$3,951,699",Feb 22,Metro-Goldwyn-Mayer (MGM),false
